"Comp","Circ","DCirc","RadRa","PrAxisRa","MaxLRa","ScatRa","Elong","PrAxisRect","MaxLRect","ScVarMaxis","ScVarmaxis","RaGyr","SkewMaxis","Skewmaxis","Kurtmaxis","KurtMaxis","HollRa","km.res$cluster"
95,48,83,178,72,10,162,42,20,159,176,379,184,70,6,16,187,197,9
91,41,84,141,57,9,149,45,19,143,170,330,158,72,9,14,189,199,4
104,50,106,209,66,10,207,32,23,158,223,635,220,73,14,9,188,196,6
93,41,82,159,63,9,144,46,19,143,160,309,127,63,6,10,199,207,7
85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180,183,8
107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181,183,2
97,43,73,173,65,6,153,42,19,143,176,361,172,66,13,1,200,204,9
90,43,66,157,65,9,137,48,18,146,162,281,164,67,3,3,193,202,7
86,34,62,140,61,7,122,54,17,127,141,223,112,64,2,14,200,208,1
93,44,98,197,62,11,183,36,22,146,202,505,152,64,4,14,195,204,3
