"Data","PIB"
2004-01-01,144558.6
2004-02-01,142861.3
2004-03-01,157363.5
2004-04-01,156953.9
2004-05-01,159498.9
2004-06-01,165342.2
2004-07-01,171370.9
2004-08-01,169178.9
2004-09-01,164702.5
2004-10-01,170536.5
2004-11-01,176921.5
2004-12-01,178462.4
2005-01-01,163540.1
2005-02-01,160701.6
2005-03-01,175468.7
2005-04-01,177179
2005-05-01,177496.7
2005-06-01,180881.8
2005-07-01,184073.7
2005-08-01,187246.6
2005-09-01,181538.9
2005-10-01,189183
2005-11-01,194794.5
2005-12-01,198480
2006-01-01,185564.8
2006-02-01,178482.2
2006-03-01,190223.3
2006-04-01,185030.6
2006-05-01,197874.3
2006-06-01,199071.9
2006-07-01,206974.4
2006-08-01,209818
2006-09-01,201055.4
2006-10-01,214271.7
2006-11-01,219724.2
2006-12-01,221359.3
2007-01-01,211130.7
2007-02-01,202704.1
2007-03-01,217588.9
2007-04-01,215128.8
2007-05-01,226537.9
2007-06-01,228988.6
2007-07-01,233824.1
2007-08-01,235019.1
2007-09-01,223002.7
2007-10-01,241939.4
2007-11-01,241938.4
2007-12-01,242460.2
2008-01-01,237247.7
2008-02-01,232680.4
2008-03-01,242124.4
2008-04-01,248793.8
2008-05-01,254936.9
2008-06-01,265791.2
2008-07-01,278095.6
2008-08-01,269235.6
2008-09-01,265271.2
2008-10-01,280522.5
2008-11-01,270698.8
2008-12-01,264404.8
2009-01-01,249934.4
2009-02-01,244024.5
2009-03-01,262181.7
2009-04-01,259563.5
2009-05-01,268324
2009-06-01,275701.2
2009-07-01,285444.2
2009-08-01,284240.4
2009-09-01,283157.9
2009-10-01,301895.9
2009-11-01,305048.8
2009-12-01,313522.8
2010-01-01,288972.8
2010-02-01,285723.2
2010-03-01,311651.6
2010-04-01,307083.5
2010-05-01,315988.4
2010-06-01,321023.2
2010-07-01,332454.2
2010-08-01,334225.6
2010-09-01,331255.9
2010-10-01,344963.8
2010-11-01,356707.5
2010-12-01,355797.4
2011-01-01,333255.6
2011-02-01,334982
2011-03-01,347879.6
2011-04-01,349049.3
2011-05-01,366256.2
2011-06-01,370951.2
2011-07-01,373143.3
2011-08-01,376769.3
2011-09-01,361724.6
2011-10-01,378491
2011-11-01,389560.8
2011-12-01,391595.1
2012-01-01,367215.4
2012-02-01,367177.3
2012-03-01,392996.5
2012-04-01,381795.3
2012-05-01,400281.3
2012-06-01,398714.5
2012-07-01,414617.4
2012-08-01,419906.3
2012-09-01,393524.7
2012-10-01,422672.1
2012-11-01,423816.4
2012-12-01,423195.9
2013-01-01,414131.8
2013-02-01,398645.4
2013-03-01,427409.8
2013-04-01,438856.8
2013-05-01,439054.2
2013-06-01,442857
2013-07-01,458458.9
2013-08-01,452862.2
2013-09-01,438766.7
2013-10-01,466166
2013-11-01,465693.8
2013-12-01,473552.5
2014-01-01,455935
2014-02-01,450358.8
2014-03-01,462159.8
2014-04-01,468767.5
2014-05-01,473347.1
2014-06-01,458516.5
2014-07-01,481994
2014-08-01,477052.9
2014-09-01,476520.6
2014-10-01,493304.7
2014-11-01,489484.4
2014-12-01,499867.7
2015-01-01,472913.9
2015-02-01,460156.7
2015-03-01,501752.2
2015-04-01,486614.6
2015-05-01,483239.7
2015-06-01,486647.5
2015-07-01,502275.2
2015-08-01,492505.7
2015-09-01,496004.7
2015-10-01,518828.9
2015-11-01,513819.8
2015-12-01,521918.7
2016-01-01,490284
2016-02-01,491011.7
2016-03-01,516985.9
2016-04-01,508058.7
2016-05-01,513267.5
2016-06-01,536459.3
2016-07-01,532947.8
2016-08-01,534761.8
2016-09-01,509975
2016-10-01,525162.7
2016-11-01,541530.7
2016-12-01,565780.5
2017-01-01,526564.7
2017-02-01,514120.5
2017-03-01,544312.9
2017-04-01,525238.1
2017-05-01,548887.7
2017-06-01,556787.6
2017-07-01,557458.2
2017-08-01,555578.7
2017-09-01,528871.2
2017-10-01,549304.7
2017-11-01,566209.3
2017-12-01,588892.8
2018-01-01,555644.6
2018-02-01,528905.5
2018-03-01,560120.7
2018-04-01,559359.8
2018-05-01,547016.5
2018-06-01,580697.8
2018-07-01,583054.8
2018-08-01,582756.7
2018-09-01,556776.6
2018-10-01,591983.9
2018-11-01,593926.9
2018-12-01,603155.2
2019-01-01,578452.6
2019-02-01,567984.5
2019-03-01,579172.6
2019-04-01,592916
2019-05-01,604607.4
2019-06-01,598283
2019-07-01,627049.7
2019-08-01,616157.6
2019-09-01,614187.9
2019-10-01,641340.1
2019-11-01,634826.2
2019-12-01,646343.1
2020-01-01,617747.2
2020-02-01,609810.8
2020-03-01,616335.3
2020-04-01,555387.4
2020-05-01,561628.4
2020-06-01,591537.3
2020-07-01,629700.9
2020-08-01,625101.4
2020-09-01,636933
2020-10-01,660409.1
2020-11-01,662599.5
2020-12-01,680491.7
2021-01-01,647092.5
2021-02-01,670296.5
2021-03-01,730633.7
2021-04-01,717796.8
2021-05-01,714313.1
2021-06-01,711254.2
2021-07-01,727346.1
2021-08-01,727121.7
2021-09-01,716186.5
