"husage","husunion","husearns","huseduc","husblck","hushisp","hushrs","kidge6","earns","age","black","educ","hispanic","union","exper","kidlt6","lwage"
56,0,1500,14,0,0,40,1,100,49,0,12,0,0,31,0,1.89712
31,0,800,17,0,0,40,0,480,29,0,14,0,0,9,0,2.484907
33,0,950,13,0,0,60,0,455,30,0,12,0,0,12,1,2.431418
34,0,1000,14,0,0,50,1,102,31,0,12,0,0,13,0,1.629241
42,0,730,14,0,0,40,1,300,41,0,12,0,0,23,0,2.302585
45,0,1154,16,0,0,38,1,425,45,0,18,0,0,21,0,2.496741
33,0,1350,16,0,0,40,0,770,32,0,12,0,0,14,0,2.957511
31,0,769,18,0,0,55,0,125,27,0,14,0,0,7,1,1.783791
31,0,340,12,0,0,40,0,245,30,0,15,0,0,9,1,1.94591
44,0,750,12,0,0,40,1,539,42,0,12,0,0,24,0,2.600836
45,0,1200,12,0,0,50,0,300,42,0,12,0,0,24,0,2.014903
22,0,249,12,0,0,40,0,299,23,0,13,0,0,4,0,2.011564
66,0,500,16,0,0,40,0,500,55,0,12,0,0,37,0,2.525729
43,0,400,12,0,0,50,1,260,31,0,12,0,0,13,0,1.871802
26,0,520,14,0,0,36,0,345,27,0,14,0,0,7,0,2.154665
37,1,500,12,0,0,50,0,213,30,0,12,0,0,12,1,2.653242
51,0,500,12,0,0,40,0,320,49,0,12,0,0,31,0,1.673976
38,0,1500,16,0,0,40,0,550,38,0,16,0,0,16,1,2.621039
37,0,465,12,0,0,50,0,687,32,0,17,0,1,9,1,2.843455
54,0,300,18,0,0,60,0,400,52,0,18,0,1,28,0,2.079442
29,0,600,16,0,0,50,0,460,27,0,14,0,0,7,1,2.442347
35,0,600,16,0,0,42,0,600,31,0,12,0,0,13,0,2.70805
38,0,240,18,0,0,48,1,400,36,0,16,0,0,14,0,2.302585
44,0,1450,18,0,0,40,1,1100,45,0,18,0,0,21,0,3.314186
31,0,675,16,0,0,40,0,434,32,0,14,0,0,12,1,2.894991
40,0,865,18,0,0,48,0,100,38,0,18,0,0,14,1,2.302585
33,0,600,12,0,0,35,1,308,31,0,12,0,0,13,0,2.328902
34,0,1923,18,0,0,60,0,962,33,0,18,1,0,9,1,3.573178
53,0,385,12,0,0,0,0,576,45,0,12,0,0,27,0,2.667228
25,0,350,11,1,0,40,0,141,33,1,10,0,0,17,0,1.393412
26,0,250,15,1,0,40,0,500,24,1,12,0,0,6,0,2.525729
53,0,1157,17,0,0,91,0,1000,52,0,18,0,1,28,0,3.352407
39,0,200,12,0,0,50,0,300,28,0,12,0,0,10,0,2.014903
24,0,390,12,1,0,0,0,205,22,1,12,0,0,4,1,2.104134
46,0,1000,12,0,0,24,0,992,33,0,12,0,1,15,0,3.210844
35,0,300,9,0,0,40,1,88,37,0,12,0,0,19,0,1.481605
39,0,611,12,0,0,40,1,5,38,0,14,0,0,18,0,1.609438
