"husage","husearns","huseduc","husblck","hushisp","hushrs","kidge6","earns","age","black","educ","hispanic","union","kidlt6","hrwage"
31,800,17,0,0,40,0,480,29,0,14,0,0,0,12
33,950,13,0,0,60,0,455,30,0,12,0,0,1,11.375
34,1000,14,0,0,50,1,102,31,0,12,0,0,0,5.1
42,730,14,0,0,40,1,300,41,0,12,0,0,0,10
45,1154,16,0,0,38,1,425,45,0,18,0,0,0,12.14286
33,1350,16,0,0,40,0,770,32,0,12,0,0,0,19.25
31,769,18,0,0,55,0,125,27,0,14,0,0,1,5.952381
31,340,12,0,0,40,0,245,30,0,15,0,0,1,7
44,750,12,0,0,40,1,539,42,0,12,0,0,0,13.475
45,1200,12,0,0,50,0,300,42,0,12,0,0,0,7.5
22,249,12,0,0,40,0,299,23,0,13,0,0,0,7.475
66,500,16,0,0,40,0,500,55,0,12,0,0,0,12.5
43,400,12,0,0,50,1,260,31,0,12,0,0,0,6.5
26,520,14,0,0,36,0,345,27,0,14,0,0,0,8.625
51,500,12,0,0,40,0,320,49,0,12,0,0,0,5.333333
38,1500,16,0,0,40,0,550,38,0,16,0,0,1,13.75
37,465,12,0,0,50,0,687,32,0,17,0,1,1,17.175
54,300,18,0,0,60,0,400,52,0,18,0,1,0,8
29,600,16,0,0,50,0,460,27,0,14,0,0,1,11.5
35,600,16,0,0,42,0,600,31,0,12,0,0,0,15
38,240,18,0,0,48,1,400,36,0,16,0,0,0,10
31,675,16,0,0,40,0,434,32,0,14,0,0,1,18.08333
46,1000,12,0,0,24,0,992,33,0,12,0,1,0,24.8
31,266,13,0,1,38,0,200,27,0,12,1,0,1,5
41,520,12,0,0,40,1,240,37,0,13,0,0,0,6
44,401,6,0,0,40,0,220,45,0,12,0,0,0,5.5
46,950,11,0,0,45,0,150,46,0,11,0,0,0,6.25
31,550,12,0,0,40,0,670,30,0,12,0,0,0,11.16667
27,338,12,0,0,25,0,333,28,0,16,0,0,1,8.325
33,480,13,1,0,40,0,360,32,1,14,0,0,1,9
33,850,18,0,0,40,0,646,34,0,16,0,0,0,16.15
60,450,10,0,0,54,0,543,57,0,12,0,1,0,13.575
54,400,12,0,0,40,0,325,54,0,12,0,0,0,8.125
48,600,12,0,0,40,0,235,50,0,13,0,0,0,6.714286
37,600,18,0,0,38,0,230,26,0,13,0,0,1,9.2
24,280,12,1,0,40,0,200,29,1,12,0,0,1,6.666667
54,500,12,0,0,55,0,100,51,0,12,0,0,0,4.761905
50,780,12,0,0,40,0,600,42,0,16,0,1,0,15
49,606,12,0,0,57,0,126,50,0,12,0,0,0,4.5
37,600,16,0,0,38,1,450,36,0,16,0,1,0,12.85714
56,1200,12,0,0,40,0,450,54,0,15,0,0,0,18.75
24,430,16,0,0,40,0,153,23,0,16,0,0,0,5.1
51,1600,18,0,0,50,0,275,51,0,12,0,0,0,10.18519
34,368,10,0,0,32,1,231,33,0,12,0,0,0,5.775
35,175,18,0,0,20,0,400,27,0,16,0,0,1,10
37,400,12,0,0,40,1,400,38,0,14,0,0,0,10
27,625,13,0,0,40,0,396,26,0,12,0,0,0,11.31429
39,360,14,0,0,40,0,500,33,0,14,0,1,1,12.5
26,1200,13,0,0,40,0,500,25,0,16,0,0,0,11.11111
38,1000,14,0,0,46,0,700,38,0,14,0,1,1,20
38,770,14,0,0,32,1,414,38,0,14,0,0,0,17.25
33,400,12,0,0,40,0,105,28,0,12,0,0,0,3.5
27,200,12,0,0,40,0,326,22,0,12,0,0,0,8.15
39,1500,16,0,0,40,0,500,38,0,12,0,1,0,12.5
32,650,13,0,0,50,1,425,33,0,14,0,0,0,10.625
52,440,10,0,0,40,1,126,37,0,12,0,0,0,3.9375
54,770,18,0,0,40,0,475,56,0,14,0,0,0,11.875
25,230,13,0,0,40,0,650,24,0,14,1,0,1,16.25
34,400,12,0,0,48,0,200,34,0,10,0,0,1,6.666667
42,486,12,0,0,48,0,136,39,0,12,0,0,0,5.666667
31,170,12,0,0,40,0,200,31,0,12,0,0,1,5
61,264,12,0,0,40,0,418,55,0,12,0,0,0,10.45
