group,before_score,after_score,algorithm,accuracy
C,79.4377307576056,88.9065750757291,alg2,0.8279076348322706
A,62.81433648435458,67.00186734465846,alg1,0.860803340987445
C,76.67836335384342,77.86555281948033,alg1,0.7588877219508358
C,72.37249107463177,76.30343176244214,alg2,0.8131583794262912
A,61.697360987876145,63.77132973574389,alg2,0.9212242523020179
A,69.39357003977452,75.34793004140066,alg1,0.8198631151302911
C,77.7837082700463,81.86766839898635,alg1,0.7995297219663954
B,76.36476371116754,80.0902200769719,alg1,0.8185541354339255
C,81.96347402306779,85.71520924530446,alg2,0.8755420627713648
C,72.70545001594655,78.18613165184203,alg2,0.8203619246261037
C,96.97837002901338,100.07344556432403,alg2,0.8508586167870348
C,62.636873559460994,68.19097314926822,alg1,0.8226661901839523
A,66.8108928798784,72.90203521657102,alg1,0.7766317008258374
C,69.51308730020203,72.82880387499127,alg2,0.8523844735545262
B,58.64999633126878,60.79790309284583,alg2,0.8957136223058142
A,78.33993293871536,81.31400230344413,alg1,0.8337302936328651
B,77.22825992500674,82.64847840573465,alg2,0.8256848245906234
B,70.1520026484972,74.33696039159939,alg2,0.8228637434863878
B,65.72466837061197,70.98481824781398,alg1,0.8342088216318269
B,58.039569033485314,65.56544397809176,alg2,0.8485662736787939
A,63.68593337041664,68.14784081630691,alg1,0.888272838927016
A,75.94969027016981,78.33181648738909,alg1,0.8321868005514979
B,68.302708626307,74.41755564403175,alg1,0.8070417339517488
B,66.58504964768221,70.68777136664148,alg1,0.8757990101946078
A,74.01158665219845,79.75648096751935,alg1,0.8560123464524019
A,79.26549322345622,85.3978903116517,alg1,0.8744826337073144
A,72.05693496045023,74.13891876759668,alg1,0.8166720419311146
C,72.51610316690537,79.28011237524925,alg2,0.8696090278400597
C,80.9748970683982,86.78514098831133,alg1,0.7764145162278291
C,71.40442635163866,74.1966176066696,alg1,0.843520192327425
B,67.52569162844338,72.13458986818509,alg2,0.9212298821047716
C,75.3850040221918,79.89941900415201,alg2,0.8804359807806189
B,67.94695853845957,71.99482216739125,alg2,0.8367848632337942
B,67.05739420693791,72.8012221845627,alg1,0.7656960602501195
C,80.18986896111645,87.0645816177835,alg2,0.8383579243060776
B,67.66437863339505,71.6789913788763,alg1,0.830874293764159
C,48.758591619492236,55.42035427543641,alg1,0.8371404253098036
C,72.76414355111012,78.74054877211834,alg1,0.8491157146003963
A,66.83586838735765,71.30046070371046,alg1,0.8422588904958839
C,67.68690514824047,72.03926699234512,alg2,0.8782385373418142
A,73.62349061226807,75.31835986894804,alg2,0.8508307279484864
C,68.67151273319148,69.66997594677713,alg1,0.8160310166817261
C,71.71951064075805,76.04955623697673,alg1,0.8177916665262428
A,53.821480534434116,56.10962269877538,alg1,0.8115333643303836
A,62.4555455322619,66.37627324818266,alg2,0.8362567029150587
C,81.23166990927434,84.16234442557422,alg1,0.7870796239430002
B,69.85159356390687,70.27460055394589,alg1,0.8302276659567686
A,56.611963024078214,61.326572107951485,alg2,0.837596462835469
B,61.419745324514736,64.59068171373495,alg2,0.8251424868694379
B,62.05931056477448,66.2197079898561,alg1,0.8283616910491198
B,70.81878146039733,73.03254091313889,alg2,0.7749172143501335
A,66.5391257556159,69.86949126082644,alg2,0.870539266046655
B,64.72654158050818,71.84730186277395,alg1,0.8167411400773343
A,70.03149843545123,74.2886004355934,alg2,0.847452735025125
B,73.82203279546822,78.92118548559355,alg1,0.8277816792699908
C,67.92777084208888,69.3860272283368,alg2,0.8582073220941588
C,65.40232633909281,74.18039825387774,alg1,0.8654869996880168
A,66.62801423728094,74.314841753922,alg1,0.8293737544329384
C,72.71856771349314,79.44543869539655,alg1,0.8106092887535067
C,69.94095880044341,75.59849075565316,alg2,0.8562251045547741
B,76.13837470965123,80.16866126617096,alg1,0.7789422965337442
A,60.80165938004513,65.68580741377859,alg2,0.8985883646631193
B,63.79731115234445,69.89335064033435,alg1,0.851813404423314
B,76.18512684711399,78.92798735216257,alg1,0.8662411299075454
B,63.58537725320245,66.69637976476409,alg2,0.8330632899019127
B,81.07212575146143,81.73386103328036,alg1,0.8108840669370722
B,81.2416424470255,83.69800429151199,alg1,0.8272700105824933
B,81.13860602793523,88.46120948915153,alg2,0.7677713546662089
B,62.95487345176185,66.28637926946111,alg1,0.8234458440464169
A,70.61515958867658,73.97946577565541,alg1,0.8665378856419891
C,66.05254014237339,70.68807420724762,alg1,0.8250991870872192
B,77.38530086673562,78.16084625238658,alg1,0.8545973555928537
B,83.65283962942769,89.54360300960282,alg2,0.8158257481423035
B,76.98871532508304,83.52152903582879,alg2,0.8580322799710978
B,70.0731547659211,74.82774729684192,alg1,0.7893885025821353
B,67.07568562533966,74.37838759829864,alg2,0.8016698317013433
B,75.19269386103285,76.53903032876106,alg1,0.8646713552165344
C,60.217011706597546,67.90444330210124,alg2,0.837776195870942
